municipio_codigo,municipio_nome,mesorregiao_id,mesorregiao_nome
420005,Abdon Batista,4203,Serrana
420010,Abelardo Luz,4201,Oeste Catarinense
420020,Agrolândia,4204,Vale do Itajaí
420030,Agronômica,4204,Vale do Itajaí
420070,Alfredo Wagner,4205,Grande Florianópolis
420075,Alto Bela Vista,4201,Oeste Catarinense
420080,Anchieta,4201,Oeste Catarinense
420090,Angelina,4205,Grande Florianópolis
420100,Anita Garibaldi,4203,Serrana
420110,Anitápolis,4205,Grande Florianópolis
420120,Antônio Carlos,4205,Grande Florianópolis
420125,Apiúna,4204,Vale do Itajaí
420127,Arabutã,4201,Oeste Catarinense
420130,Araquari,4202,Norte Catarinense
420140,Araranguá,4206,Sul Catarinense
420150,Armazém,4206,Sul Catarinense
420160,Arroio Trinta,4201,Oeste Catarinense
420165,Arvoredo,4201,Oeste Catarinense
420170,Ascurra,4204,Vale do Itajaí
420180,Atalanta,4204,Vale do Itajaí
420190,Aurora,4204,Vale do Itajaí
420195,Balneário Arroio do Silva,4206,Sul Catarinense
420205,Balneário Barra do Sul,4202,Norte Catarinense
420200,Balneário Camboriú,4204,Vale do Itajaí
420207,Balneário Gaivota,4206,Sul Catarinense
421280,Balneário Piçarras,4204,Vale do Itajaí
422000,Balneário Rincão,4206,Sul Catarinense
420208,Bandeirante,4201,Oeste Catarinense
420209,Barra Bonita,4201,Oeste Catarinense
420210,Barra Velha,4204,Vale do Itajaí
420213,Bela Vista do Toldo,4202,Norte Catarinense
420215,Belmonte,4201,Oeste Catarinense
420220,Benedito Novo,4204,Vale do Itajaí
420230,Biguaçu,4205,Grande Florianópolis
420240,Blumenau,4204,Vale do Itajaí
420243,Bocaina do Sul,4203,Serrana
420250,Bom Jardim da Serra,4203,Serrana
420253,Bom Jesus,4201,Oeste Catarinense
420257,Bom Jesus do Oeste,4201,Oeste Catarinense
420260,Bom Retiro,4203,Serrana
420245,Bombinhas,4204,Vale do Itajaí
420270,Botuverá,4204,Vale do Itajaí
420280,Braço do Norte,4206,Sul Catarinense
420285,Braço do Trombudo,4204,Vale do Itajaí
420287,Brunópolis,4203,Serrana
420290,Brusque,4204,Vale do Itajaí
420310,Caibi,4201,Oeste Catarinense
420315,Calmon,4201,Oeste Catarinense
420320,Camboriú,4204,Vale do Itajaí
420330,Campo Alegre,4202,Norte Catarinense
420340,Campo Belo do Sul,4203,Serrana
420350,Campo Erê,4201,Oeste Catarinense
420360,Campos Novos,4203,Serrana
420370,Canelinha,4205,Grande Florianópolis
420380,Canoinhas,4202,Norte Catarinense
420390,Capinzal,4201,Oeste Catarinense
420395,Capivari de Baixo,4206,Sul Catarinense
420325,Capão Alto,4203,Serrana
420400,Catanduvas,4201,Oeste Catarinense
420410,Caxambu do Sul,4201,Oeste Catarinense
420300,Caçador,4201,Oeste Catarinense
420415,Celso Ramos,4203,Serrana
420417,Cerro Negro,4203,Serrana
420419,Chapadão do Lageado,4204,Vale do Itajaí
420420,Chapecó,4201,Oeste Catarinense
420425,Cocal do Sul,4206,Sul Catarinense
420430,Concórdia,4201,Oeste Catarinense
420435,Cordilheira Alta,4201,Oeste Catarinense
420440,Coronel Freitas,4201,Oeste Catarinense
420445,Coronel Martins,4201,Oeste Catarinense
420455,Correia Pinto,4203,Serrana
420450,Corupá,4202,Norte Catarinense
420460,Criciúma,4206,Sul Catarinense
420470,Cunha Porã,4201,Oeste Catarinense
420475,Cunhataí,4201,Oeste Catarinense
420480,Curitibanos,4203,Serrana
420490,Descanso,4201,Oeste Catarinense
420500,Dionísio Cerqueira,4201,Oeste Catarinense
420510,Dona Emma,4204,Vale do Itajaí
420515,Doutor Pedrinho,4204,Vale do Itajaí
420517,Entre Rios,4201,Oeste Catarinense
420519,Ermo,4206,Sul Catarinense
420520,Erval Velho,4201,Oeste Catarinense
420530,Faxinal dos Guedes,4201,Oeste Catarinense
420535,Flor do Sertão,4201,Oeste Catarinense
420540,Florianópolis,4205,Grande Florianópolis
420543,Formosa do Sul,4201,Oeste Catarinense
420545,Forquilhinha,4206,Sul Catarinense
420550,Fraiburgo,4201,Oeste Catarinense
420555,Frei Rogério,4203,Serrana
420560,Galvão,4201,Oeste Catarinense
420570,Garopaba,4206,Sul Catarinense
420580,Garuva,4202,Norte Catarinense
420590,Gaspar,4204,Vale do Itajaí
420600,Governador Celso Ramos,4205,Grande Florianópolis
420620,Gravatal,4206,Sul Catarinense
420610,Grão-Pará,4206,Sul Catarinense
420630,Guabiruba,4204,Vale do Itajaí
420640,Guaraciaba,4201,Oeste Catarinense
420650,Guaramirim,4202,Norte Catarinense
420660,Guarujá do Sul,4201,Oeste Catarinense
420665,Guatambú,4201,Oeste Catarinense
420670,Herval d'Oeste,4201,Oeste Catarinense
420675,Ibiam,4201,Oeste Catarinense
420680,Ibicaré,4201,Oeste Catarinense
420690,Ibirama,4204,Vale do Itajaí
420710,Ilhota,4204,Vale do Itajaí
420720,Imaruí,4206,Sul Catarinense
420730,Imbituba,4206,Sul Catarinense
420740,Imbuia,4204,Vale do Itajaí
420750,Indaial,4204,Vale do Itajaí
420757,Iomerê,4201,Oeste Catarinense
420760,Ipira,4201,Oeste Catarinense
420765,Iporã do Oeste,4201,Oeste Catarinense
